sys_data_source_nm,sys_data_schema_nm,sys_data_source_table_nm,sys_insert_date,sys_insert_owner_corp_id,player_name,country_name,club,position
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Matias Vecino,Uruguay,Inter,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Jonathan Urretaviscaya,Uruguay,Monterrey,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Edinson Cavani,Uruguay,Paris St-Germain,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Maximiliano Gomez,Uruguay,Celta Vigo,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Luis Suarez,Uruguay,Barcelona,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Cristhian Stuani,Uruguay,Girona,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Alireza Beyranvand,Iran,Persepolis,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Rashid Mazaheri,Iran,Zob Ahan,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Amir Abedzadeh,Iran,Maritimo,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Majid Hossaini,Iran,Esteghlal,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Ramin Rezaeian,Iran,Ostende,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Mohammad Reza Khanzadeh,Iran,Padideh,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Morteza Pouraliganji,Iran,Alsaad,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Pejman Montazeri,Iran,Esteghlal,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Milad Mohammadi,Iran,Akhmat Grozny,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Rouzbeh Cheshmi,Iran,Esteghlal,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Ehsan Hajsafi,Iran,Olympiacos,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Saeid Ezatolahi,Iran,Amkar Perm,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Masoud Shojaei,Iran,AEK Athens,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Mehdi Torabi,Iran,Saipa,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Omid Ebrahimi,Iran,Esteghlal,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Karim Ansarifard,Iran,Olympiacos,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Alireza Jahanbakhsh,Iran,AZ Alkmaar,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Mehdi Taremi,Iran,Al Gharafa,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Sardar Azmoun,Iran,Rubin Kazan,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Reza Ghoochannejhad,Iran,Heerenveen,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Saman Ghoddos,Iran,Ostersunds,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Ashkan Dejagah,Iran,Nottingham Forest,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Vahid Amiri,Iran,Persepolis,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Mounir El Kajoui,Morroco,Numancia,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Yassine Bounou,Morroco,Girona,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Reda Tagnaouti,Morroco,Ittihad Tanger,GK
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Medhi Benatia,Morroco,Juventus,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Romain Saiss,Morroco,Wolves,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Manuel da Costa,Morroco,Basaksehir,DEF
